OBJECTID,Cartegraph_ID,Street_Name,From_Street,To_Street,Street_Type,Location_Description,Ownership,Speed_Limit,Surface_Type,Surface_Width,Measured_ADT,PCI,Number_of_Lanes,Install_Date,Subdivision,Council_District,Map_Grid,CompKey,Mile_Length,Foot_Length,created_date,FISCAL_YR,LANE_MI,last_edited_date,SHAPESTLength
11,6738-001,COMMERCE ST,INDEPENDENCE BL (NB),MARKET ST,Local,6738-001 COMMERCE ST From INDEPENDENCE BL (NB) To MARKET ST,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,65,4,2007/11/01 04:00:00+00,TOWN CENTER,District 4,E07,1253729,0.10360387,547.03,2024/08/21 21:27:27+00,2025,0.26,2024/09/09 18:16:58+00,208.093899482181
12,6739-001,BANK ST,INDEPENDENCE BL (NB),MARKET ST,Local,6739-001 BANK ST From INDEPENDENCE BL (NB) To MARKET ST,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,71,3,2007/11/01 04:00:00+00,TOWN CENTER,District 4,E07,1253728,0.10351913,546.58,2024/08/21 21:27:27+00,2025,0.26,2024/09/09 18:16:58+00,207.92585191421
13,6181-001,DEERE CT,E CUL-DE-SAC,NANNEYS CREEK CT,Local,6181-001 DEERE CT From E CUL-DE-SAC To NANNEYS CREEK CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,34,0,91,2,1998/12/31 05:00:00+00,NAWNEY CREEK NORTH,District 2,L18,96124,0.06603519,348.67,2024/08/21 21:27:27+00,2025,0.19,2024/09/09 18:16:58+00,132.315692662851
14,6181-002,DEERE CT,NANNEYS CREEK CT,W CUL-DE-SAC,Local,6181-002 DEERE CT From NANNEYS CREEK CT To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,31,0,93,2,1998/12/31 05:00:00+00,NAWNEY CREEK NORTH,District 2,L18,96125,0.06065318,320.25,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,121.536961707375
15,5821-001,CHICKADEE CT,CHICKADEE LA,N CUL-DE-SAC,Local,5821-001 CHICKADEE CT From CHICKADEE LA To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,45,0,54,2,1998/12/31 05:00:00+00,REDWING,District 5,L10,45137,0.02940618,155.26,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,59.2776499585636
16,8060-001,QUICK PL,DWYER RD,E DEAD END,Local,8060-001 QUICK PL From DWYER RD To E DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,32,0,67,2,1899/12/30 05:00:00+00,PINE MEADOWS,District 5,L10,1714169,0.03196959,168.8,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,64.3302626948647
17,5956-003,JONATHANS COVE DR,JONATHANS COVE CT,W CUL-DE-SAC,Local,5956-003 JONATHANS COVE DR From JONATHANS COVE CT To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,32,0,85,2,1899/12/30 05:00:00+00,JONATHAN'S COVE,District 1,B07,1713796,0.10048758,530.57,2024/08/21 21:27:27+00,2025,0.27,2024/09/09 18:16:58+00,202.087348383367
18,5956-002,JONATHANS COVE DR,BEHL CT,JONATHANS COVE CT,Local,5956-002 JONATHANS COVE DR From BEHL CT To JONATHANS COVE CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,32,0,88,2,1899/12/30 05:00:00+00,JONATHAN'S COVE,District 1,B07,1713795,0.08259558,436.1,2024/08/21 21:27:27+00,2025,0.22,2024/09/09 18:16:58+00,165.915250280177
19,5957-001,JONATHANS COVE CT,JONATHANS COVE DR,W CUL-DE-SAC,Local,5957-001 JONATHANS COVE CT From JONATHANS COVE DR To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,41,0,74,2,1997/10/01 04:00:00+00,JONATHAN'S COVE,District 1,B07,62573,0.05452735,287.9,2024/08/21 21:27:27+00,2025,0.19,2024/09/09 18:16:58+00,109.962602164309
20,5958-001,BEHL CT,JONATHANS COVE DR,W CUL-DE-SAC,Local,5958-001 BEHL CT From JONATHANS COVE DR To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,45,0,83,2,1997/10/01 04:00:00+00,JONATHAN'S COVE,District 1,B07,62574,0.04334532,228.86,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,87.4130393043389
21,5944-002,25TH 1/2 ST,PACIFIC AV (SB),ARCTIC AV,Local,5944-002 25TH 1/2 ST From PACIFIC AV (SB) To ARCTIC AV,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,17,0,65,2,1999/05/02 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 6,M06,62547,0.10396557,548.94,2024/08/21 21:27:27+00,2025,0.15,2024/09/09 18:16:58+00,208.894262860472
22,5944-004,25TH 1/2 ST,BALTIC AV,W DEAD END,Local,5944-004 25TH 1/2 ST From BALTIC AV To W DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,13,0,54,2,1999/05/02 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 6,M06,62549,0.07383291,389.84,2024/08/21 21:27:27+00,2025,0.08,2024/09/09 18:16:58+00,148.348560343132
23,6155-003,BUZZARD NECK RD,005000 FT,S DEAD END,Local,6155-003 BUZZARD NECK RD From 005000 FT To S DEAD END,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,16,0,79,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,J22,95199,0.19562622,1032.91,2024/08/21 21:27:27+00,2025,0.26,2024/09/09 18:16:58+00,392.856759182785
24,6155-001,BUZZARD NECK RD,PRINCESS ANNE RD (NB),002500 FT,Local,6155-001 BUZZARD NECK RD From PRINCESS ANNE RD (NB) To 002500 FT,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,18,0,61,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,J21,95197,0.48139758,2541.78,2024/08/21 21:27:27+00,2025,0.72,2024/09/09 18:16:58+00,966.890041920486
25,7012-016,NIMMO PW (EB),NEWSTEAD DR,RED MILL COMMONS SHOPPING CENTER,Arterial Major,7012-016 NIMMO PW (EB) From NEWSTEAD DR To RED MILL COMMONS SHOPPING CENTER,CITY MAINTAINED VDOT FUNDED,40,ASPHALT,33,20668,72,2,1899/12/30 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,K11,768082,0.16671303,880.24,2024/08/21 21:27:27+00,2025,0.46,2024/09/09 18:16:58+00,334.737146093737
26,5936-001,MCCOMAS WY (WB),PRIVATE PROPERTY,NIMMO PW (WB),Local,5936-001 MCCOMAS WY (WB) From PRIVATE PROPERTY To NIMMO PW (WB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,76,2,1999/07/06 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,K11,99215,0.30240935,1596.72,2024/08/21 21:27:27+00,2025,0.76,2024/09/09 18:16:58+00,607.441635209326
27,7011-003,NIMMO PW (WB),NEWSTEAD DR,GENERAL BOOTH BL (SB),Arterial Major,7011-003 NIMMO PW (WB) From NEWSTEAD DR To GENERAL BOOTH BL (SB),CITY MAINTAINED VDOT FUNDED,40,ASPHALT,36,20668,72,2,1899/12/30 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,K11,768088,0.28521076,1505.91,2024/08/21 21:27:27+00,2025,0.86,2024/09/09 18:16:58+00,572.344976169128
28,6029-001,TANEVA CT,DAM NECK RD (EB),W DEAD END,Local,6029-001 TANEVA CT From DAM NECK RD (EB) To W DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,37,0,70,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,M10,96555,0.06878506,363.19,2024/08/21 21:27:27+00,2025,0.21,2024/09/09 18:16:58+00,138.290770607936
29,8001-001,LOCKRIDGE CT,STORM LAKE DR,N CUL-DE-SAC,Local,8001-001 LOCKRIDGE CT From STORM LAKE DR To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,70,2,1899/12/30 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,L10,1281096,0.10875376,574.22,2024/08/21 21:27:27+00,2025,0.27,2024/09/09 18:16:58+00,218.891240242786
30,7012-017,NIMMO PW (EB),RED MILL COMMONS SHOPPING CENTER,UPTON DR (SB),Arterial Major,7012-017 NIMMO PW (EB) From RED MILL COMMONS SHOPPING CENTER To UPTON DR (SB),CITY MAINTAINED VDOT FUNDED,40,ASPHALT,46,20668,72,2,1899/12/30 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,L11,768083,0.16742379,884,2024/08/21 21:27:27+00,2025,0.64,2024/09/09 18:16:58+00,336.174723824412
31,6155-002,BUZZARD NECK RD,002500 FT,005000 FT,Local,6155-002 BUZZARD NECK RD From 002500 FT To 005000 FT,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,16,0,75,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,J21,95198,0.46762628,2469.07,2024/08/21 21:27:27+00,2025,0.62,2024/09/09 18:16:58+00,940.047472196353
32,5956-001,JONATHANS COVE DR,MILITARY HY S (SB),BEHL CT,Local,5956-001 JONATHANS COVE DR From MILITARY HY S (SB) To BEHL CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,35,0,82,2,1997/10/01 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 1,B07,62572,0.03852167,203.39,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,77.3695233116831
33,6261-001,MILITARY HY FEEDER LA,MILITARY HY S (NB),JONATHANS COVE DR,Local,6261-001 MILITARY HY FEEDER LA From MILITARY HY S (NB) To JONATHANS COVE DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,72,2,1999/04/25 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 1,A08,98030,0.09944589,525.07,2024/08/21 21:27:27+00,2025,0.3,2024/09/09 18:16:58+00,200.512427811346
34,0553-009,OLD DAM NECK RD,CARMA CT,W DEAD END,Local,0553-009 OLD DAM NECK RD From CARMA CT To W DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,22,0,61,2,1998/09/04 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,L10,2166205,0.1665108,879.18,2024/08/21 21:27:27+00,2025,0.31,2024/09/09 18:16:58+00,334.490220152971
35,1845-007,CONSTITUTION DR (SB),END CONSTITUTION DR BRIDGE,BONNEY RD (WB),Collector,1845-007 CONSTITUTION DR (SB) From END CONSTITUTION DR BRIDGE To BONNEY RD (WB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,22,0,52,2,2010/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,1875253,0.10349029,546.43,2024/08/21 21:27:27+00,2025,0.19,2024/09/09 18:16:58+00,208.51117396414
36,0021-001,CONSTITUTION DR (NB),BONNEY RD (WB),START CONSTITUTION DR BRIDGE,Local,0021-001 CONSTITUTION DR (NB) From BONNEY RD (WB) To START CONSTITUTION DR BRIDGE,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,59,2,2010/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,1875088,0.10778219,569.09,2024/08/21 21:27:27+00,2025,0.32,2024/09/09 18:16:58+00,217.146467527167
37,2728-001A,GUM AV S,TILLMAN DR,TRESSLE VIEW PL,Local,2728-001A GUM AV S From TILLMAN DR To TRESSLE VIEW PL,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,19,0,76,2,1998/12/31 05:00:00+00,THALIA VILLAGE,District 4,F07,1842196,0.05185926,273.82,2024/08/21 21:27:27+00,2025,0.08,2024/09/09 18:16:58+00,104.606901018862
38,6605-001,GUM AV N,SOUTHERN BL,N CUL-DE-SAC,Local,6605-001 GUM AV N From SOUTHERN BL To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,40,0,68,2,2003/11/17 05:00:00+00,THALIA VILLAGE,District 4,F07,1159575,0.03718622,196.34,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,75.0111753716138
39,0015-001,BONNEY RD (WB),ROSEMONT RD N (SB),002500 FT,Collector,0015-001 BONNEY RD (WB) From ROSEMONT RD N (SB) To 002500 FT,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,24,15436,58,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,G07,89699,0.47346849,2499.91,2024/08/21 21:27:27+00,2025,0.95,2024/09/09 18:16:58+00,950.97812882483
40,6045-019,BONNEY RD (EB),PINE ST,ROSEMONT RD (SB),Collector,6045-019 BONNEY RD (EB) From PINE ST To ROSEMONT RD (SB),CITY MAINTAINED VDOT FUNDED,35,ASPHALT,25,15436,48,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,G07,89729,0.17808938,940.31,2024/08/21 21:27:27+00,2025,0.37,2024/09/09 18:16:58+00,357.690461190357
41,6045-015,BONNEY RD (EB),RODRIGUEZ DR,CHESTNUT AV,Collector,6045-015 BONNEY RD (EB) From RODRIGUEZ DR To CHESTNUT AV,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,16,15436,53,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,G07,89725,0.15843953,836.56,2024/08/21 21:27:27+00,2025,0.21,2024/09/09 18:16:58+00,318.259323458311
42,6589-001,KENTUCKY AV N,RAILROAD TRACKS,VIRGINIA BEACH BL (EB),Local,6589-001 KENTUCKY AV N From RAILROAD TRACKS To VIRGINIA BEACH BL (EB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,45,2,1899/12/30 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,1041156,0.09505506,501.89,2024/08/21 21:27:27+00,2025,0.29,2024/09/09 18:16:58+00,191.713453892491
43,3159-004,KENTUCKY AV S,BONNEY RD (WB),RAILROAD TRACKS,Local,3159-004 KENTUCKY AV S From BONNEY RD (WB) To RAILROAD TRACKS,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,52,2,1998/12/21 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,93718,0.07498746,395.93,2024/08/21 21:27:27+00,2025,0.22,2024/09/09 18:16:58+00,151.254673361614
44,4085-001,PALM AV S,BONNEY RD (WB),N CUL-DE-SAC,Local,4085-001 PALM AV S From BONNEY RD (WB) To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,23,0,75,2,1998/12/31 05:00:00+00,THALIA VILLAGE,District 4,F07,26551,0.1579645,834.05,2024/08/21 21:27:27+00,2025,0.3,2024/09/09 18:16:58+00,318.634542922283
45,0015-011,BONNEY RD (WB),FIR AV S,PALM AV S,Collector,0015-011 BONNEY RD (WB) From FIR AV S To PALM AV S,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,20,15436,60,2,1899/12/30 05:00:00+00,THALIA VILLAGE,District 4,F07,28377,0.06053788,319.64,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,121.674013046635
46,6045-005,BONNEY RD (EB),FIR AV S,BUDDING AV S,Collector,6045-005 BONNEY RD (EB) From FIR AV S To BUDDING AV S,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,24,15436,67,2,1998/10/20 04:00:00+00,THALIA VILLAGE,District 4,F07,89715,0.11825893,624.41,2024/08/21 21:27:27+00,2025,0.24,2024/09/09 18:16:58+00,237.535651174952
47,2436-003,FIR AV S,BONNEY RD (WB),SOUTHERN BL,Local,2436-003 FIR AV S From BONNEY RD (WB) To SOUTHERN BL,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,22,0,72,2,1998/12/17 05:00:00+00,THALIA VILLAGE,District 4,F07,25966,0.14706271,776.49,2024/08/21 21:27:27+00,2025,0.27,2024/09/09 18:16:58+00,296.644482298894
48,0015-010,BONNEY RD (WB),THALIA RD S,FIR AV S,Collector,0015-010 BONNEY RD (WB) From THALIA RD S To FIR AV S,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,28,15436,40,2,1998/10/20 04:00:00+00,THALIA VILLAGE,District 4,F07,89707,0.05890699,311.03,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,118.322851780106
49,7005-001,THALIA RD S,BONNEY RD (WB),SOUTHERN BL,Collector,7005-001 THALIA RD S From BONNEY RD (WB) To SOUTHERN BL,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,52,2,1999/03/25 04:00:00+00,THALIA VILLAGE,District 4,F07,95325,0.1361991,719.13,2024/08/21 21:27:27+00,2025,0.27,2024/09/09 18:16:58+00,274.732521396382
50,0015-009,BONNEY RD (WB),BUDDING AV S,THALIA RD S,Collector,0015-009 BONNEY RD (WB) From BUDDING AV S To THALIA RD S,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,24,15436,57,2,1998/10/20 04:00:00+00,THALIA VILLAGE,District 4,F07,89706,0.05833108,307.99,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,117.159104090975
51,1429-002,BUDDING AV S,BONNEY RD (WB),SOUTHERN BL,Local,1429-002 BUDDING AV S From BONNEY RD (WB) To SOUTHERN BL,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,22,0,75,2,1998/12/17 05:00:00+00,THALIA VILLAGE,District 4,F07,95066,0.1307139,690.17,2024/08/21 21:27:27+00,2025,0.24,2024/09/09 18:16:58+00,263.668813658601
52,0015-008,BONNEY RD (WB),CORWOOD AV,BUDDING AV S,Collector,0015-008 BONNEY RD (WB) From CORWOOD AV To BUDDING AV S,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,24,15436,39,2,1998/10/20 04:00:00+00,THALIA VILLAGE,District 4,F07,89705,0.11319721,597.68,2024/08/21 21:27:27+00,2025,0.23,2024/09/09 18:16:58+00,227.360105102896
53,1870-001,CORWOOD AV,BONNEY RD (WB),N DEAD END,Local,1870-001 CORWOOD AV From BONNEY RD (WB) To N DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,79,2,1998/12/15 05:00:00+00,THALIA VILLAGE,District 4,F07,19488,0.09763118,515.49,2024/08/21 21:27:27+00,2025,0.23,2024/09/09 18:16:58+00,196.935816193728
54,0015-007,BONNEY RD (WB),BOGGS AV S,CORWOOD AV,Collector,0015-007 BONNEY RD (WB) From BOGGS AV S To CORWOOD AV,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,22,15436,59,2,1998/10/20 04:00:00+00,THALIA VILLAGE,District 4,F07,28375,0.056928,300.58,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,114.341941827704
55,2728-002,GUM AV S,TRESSLE VIEW PL,N CUL-DE-SAC,Local,2728-002 GUM AV S From TRESSLE VIEW PL To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,22,0,73,2,1998/12/31 05:00:00+00,THALIA VILLAGE,District 4,F07,26046,0.04207752,222.17,2024/08/21 21:27:27+00,2025,0.08,2024/09/09 18:16:58+00,84.8765857261033
56,1281-003,BOGGS AV S (NB),BONNEY RD (WB),N DEAD END,Local,1281-003 BOGGS AV S (NB) From BONNEY RD (WB) To N DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,22,0,64,2,1999/05/03 04:00:00+00,THALIA VILLAGE,District 4,F07,25554,0.09778525,516.31,2024/08/21 21:27:27+00,2025,0.18,2024/09/09 18:16:58+00,197.246727995536
57,0711-002,THALIA RD,SOUTHERN BL,DUTCH ST,Collector,0711-002 THALIA RD From SOUTHERN BL To DUTCH ST,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,20,0,56,2,1999/03/25 04:00:00+00,THALIA VILLAGE,District 4,F07,95326,0.12835948,677.74,2024/08/21 21:27:27+00,2025,0.21,2024/09/09 18:16:58+00,258.925713468862
58,1428-001,BUDDING AV N,SOUTHERN BL,DUTCH ST,Local,1428-001 BUDDING AV N From SOUTHERN BL To DUTCH ST,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,16,0,74,2,1998/12/17 05:00:00+00,THALIA VILLAGE,District 4,F07,95067,0.12712661,671.23,2024/08/21 21:27:27+00,2025,0.17,2024/09/09 18:16:58+00,256.438801614484
59,2435-001,FIR AV N,SOUTHERN BL,DUTCH ST,Local,2435-001 FIR AV N From SOUTHERN BL To DUTCH ST,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,20,0,74,2,1998/12/31 05:00:00+00,THALIA VILLAGE,District 4,F07,25962,0.12651567,668,2024/08/21 21:27:27+00,2025,0.21,2024/09/09 18:16:58+00,255.206623429025
60,6049-002,LYNN SHORES DR (SB),VIRGINIA BEACH BL (WB),BONNEY RD (WB),Local,6049-002 LYNN SHORES DR (SB) From VIRGINIA BEACH BL (WB) To BONNEY RD (WB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,25,0,57,2,1998/12/17 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,90037,0.08659468,457.22,2024/08/21 21:27:27+00,2025,0.18,2024/09/09 18:16:58+00,174.664953539601
61,0517-001,LYNN SHORES DR(NB),BONNEY RD (WB),VIRGINIA BEACH BL (WB),Local,0517-001 LYNN SHORES DR(NB) From BONNEY RD (WB) To VIRGINIA BEACH BL (WB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,64,2,1998/12/17 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,90038,0.08251225,435.66,2024/08/21 21:27:27+00,2025,0.25,2024/09/09 18:16:58+00,166.435989465128
62,0015-003,BONNEY RD (WB),LYNN SHORES DR(NB),KENTUCKY AV S,Collector,0015-003 BONNEY RD (WB) From LYNN SHORES DR(NB) To KENTUCKY AV S,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,27,15436,65,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,28372,0.18617567,983.01,2024/08/21 21:27:27+00,2025,0.42,2024/09/09 18:16:58+00,373.946801885711
63,0969-004,ASH AVE,DUTCH ST,VIRGINIA BEACH BL (EB),Local,0969-004 ASH AVE From DUTCH ST To VIRGINIA BEACH BL (EB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,64,2,1998/12/17 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,89430,0.09615974,507.72,2024/08/21 21:27:27+00,2025,0.24,2024/09/09 18:16:58+00,193.976446471643
64,1428-002,BUDDING AV N,DUTCH ST,VIRGINIA BEACH BL (WB),Local,1428-002 BUDDING AV N From DUTCH ST To VIRGINIA BEACH BL (WB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,25,0,67,2,1998/12/17 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,95068,0.09799676,517.42,2024/08/21 21:27:27+00,2025,0.2,2024/09/09 18:16:58+00,197.682236828058
