X,Y,OBJECTID,Cartegraph_ID,Cartegraph_Type,Year_Built,Ownership,X_Coordinate,Y_Coordinate,Comment,Field_Survey,Point_Confidence,File_Number,Watershed,Subdivision,Council_District,Map_Grid,INST_DATE,Rim_Elevation,East_Invert,West_Invert,North_Invert,South_Invert,STREET,PROP_GPIN,created_date,Conflict_in_structure,Pavement_Segment_ID,Stormpipe_Network_ID,Flushing_Maint_Year,CCTV_Maint_Year,last_edited_date
-8475002.4282,4415061.0728,11,04750-052,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12175860.1733449,3469366.63349773, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,,-99,0,3.3599999,3.3599999,5.5999999,HOLLAND OFFICE PARK,14766915350000,,,P873-001,,,,
-8470958.1042,4415123.5024,12,04620-613,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12186486.2170534,3469798.73991698, ,,PLANS,I14503,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,G08,,9.05000019,0,5.92999983,2.56999993,2.5999999,ROSEMONT RD S (SB),14866947460000,,,0096-009,,,,
-8474871.0588,4414944.5811,13,04750-036,STORMWATER MANHOLE,1990,VIRGINIA BEACH PUBLIC WORKS,12176213.121786,3469070.42149173, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,1990/01/01 05:00:00+00,12.60000038,2.01999998,2.01999998,7.07000017,0,EDWIN DR (SB),14766922320000,,,0384-002,,,,
-8474933.8649,4414999.8558,14,04750-042,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12176044.4078845,3469210.94122382, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,,12.10999966,3.26999998,3.26999998,6.98000002,0,EDWIN DR (SB),14766922320000,,,0384-002,,,,
-8476090.9714,4415163.2528,15,04560-088,STORMWATER MANHOLE,1985,VIRGINIA BEACH PUBLIC WORKS,12172992.3198286,3469562.42346048, ,,PLANS,E08-055,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,1985/01/01 05:00:00+00,12.61999989,0,0,8.93999958,8.93999958,OPEN GREENS DR (NB),14763955723690,,,6282-001,NET_ID_009780,,,
-8475218.6371,4415234.117,16,04750-072,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12175280.5294911,3469805.25991707, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,,10.39999962,5.88999987,6.63999987,5.36999989,5.36999989,INDEPENDENCE BL (NB),14775052240000,,,0050-031,,,,
-8475257.2019,4415264.5555,17,04750-074,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12175177.1694616,3469882.37984157, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,,11.85000038,6.94000006,6.94000006,0,0,INDEPENDENCE BL (NB),14775052240000,,,0050-031,,,,
-8475221.8809,4415230.2134,18,04750-120,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12175272.2594945,3469794.83014789, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,,11.43000031,4.65999985,4.65999985,4.65999985,0,INDEPENDENCE BL (NB),14775052240000,,,0050-031,,,,
-8474698.6366,4415161.7164,19,04530-186,STORMWATER MANHOLE,1983,PRIVATELY OWNED,12176652.0552913,3469650.07321957,NGVD 29,,PLANS,E09-040,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,1983/01/01 05:00:00+00,12.39999962,7.75,0,0,7.75,EDWIN DR (SB),14766967170000,,,0384-002,,,,
-8474785.1941,4415200.4724,20,04530-150,STORMWATER MANHOLE,2005,PRIVATELY OWNED,12176421.9999771,3469745.78890739,NGVD 29,,PLANS,E07-617,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,2005/01/01 05:00:00+00,11.30000019,0,0,7.19999981,7.19999981,EDWIN DR (SB),14776050600001,,,0384-002,,,,
-8475084.4795,4415128.5153,21,04750-064,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12175640.0799531,3469537.72994031, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,,11.65999985,4.26999998,4.69000006,9.85000038,0,INDEPENDENCE BL (NB),14776043730000,,,0050-030,,,,
-8475086.0369,4415123.5091,22,04750-104,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12175636.3148687,3469524.52524231, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,,11.31000042,3.94000006,3.94000006,0,0,INDEPENDENCE BL (NB),14776043730000,,,0050-030,,,,
-8475890.6254,4415128.8377,23,04560-190,STORMWATER MANHOLE,1984,PRIVATELY OWNED,12173521.1648996,3469485.5158059, ,,PLANS,E07-063,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,1984/01/01 05:00:00+00,12.69999981,0,0,8.98999977,8.98999977,BABBLING BROOK DR,14763955727570,,,P040-003,,,,
-8475981.3947,4415085.2961,24,04560-180,STORMWATER MANHOLE,1984,PRIVATELY OWNED,12173285.4324314,3469365.59773864, ,,PLANS,E07-063,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,1984/01/01 05:00:00+00,12.80000019,0,0,9.30000019,9.30000019,RED DUCK CT,14763955724170,,,P2017-001,,,,
-8474847.318,4414882.5691,25,04750-006,STORMWATER MANHOLE,1990,VIRGINIA BEACH PUBLIC WORKS,12176279.5973748,3468909.69182631, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,1990/01/01 05:00:00+00,11.60000038,0,6.5,5.40999985,6.5,EDWIN DR (NB),14766837140000,,,0029-019,,,,
-8474111.4651,4414340.7984,26,04720-216,STORMWATER MANHOLE,1977,VIRGINIA BEACH PUBLIC WORKS,12178249.4635138,3467540.36451247, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,1977/01/01 05:00:00+00,10.39999962,0,2.36999989,5.30000019,2.36999989,HOLLAND RD (NB),14768736320000,,,0047-037,NET_ID_009406,,,
-8474133.439,4414357.9396,27,04720-208,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12178190.5735397,3467583.77453065, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,,10.56000042,2.21000004,2.21000004,5.01000023,5.69000006,HOLLAND RD (NB),14768736320000,,,0047-037,NET_ID_009406,,,
-8474185.1042,4414398.7471,28,04720-148,JUNCTION BOX,1977,VIRGINIA BEACH PUBLIC WORKS,12178052.0780818,3467687.16211915,Source:As-built Plan,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,1977/01/01 05:00:00+00,11.23999977,1.84000003,3.30999994,1.84000003,2.79999995,HOLLAND RD (NB),14768709760000,,,0047-038,NET_ID_009406,,,
-8474595.0037,4414728.4407,29,04720-074,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12176952.9359231,3468522.9626129, ,,PLANS,I14503,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,,-99,0,4.4000001,0,0,INDEPENDENCE BL (NB),14767805740000,,,0050-028,NET_ID_009712,,,
-8473457.5987,4414180.6851,30,04650-065,STORMWATER MANHOLE,1976,VIRGINIA BEACH PUBLIC WORKS,12179978.7979816,3467164.61296739,NAVD88-JUN 2016-PW SURVEY,,SURVEY, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,1976/01/01 05:00:00+00,7.13000011,0,2.70000005,0.82999998,0.93000001,PLAZA TR S(SB),14878335640000,,,0760-004,NET_ID_009099,,,
-8473493.6964,4414134.9011,31,04650-064A,STORMWATER MANHOLE,1976,VIRGINIA BEACH PUBLIC WORKS,12179886.933336,3467042.38617773,NAVD88-JUN 2016-PW SURVEY,,SURVEY, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,1976/01/01 05:00:00+00,7.55000019,0,2.49000001,0.99000001,0.99000001,PLAZA TR S(SB),14769752530000,,,0760-004,NET_ID_009099,,,
-8473522.9467,4414097.7504,32,04650-062,STORMWATER MANHOLE,1976,VIRGINIA BEACH PUBLIC WORKS,12179812.4971331,3466943.20953882,NAVD88-JUN 2016-PW SURVEY,,SURVEY, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,1976/01/01 05:00:00+00,7.69000006,0,2.46000004,2.19000006,2.19000006,PLAZA TR S(SB),14769752530000,,,0760-004,NET_ID_009099,,,
-8473758.7979,4414244.9969,33,04650-352,CONFLICT MANHOLE,1976,PRIVATELY OWNED,12179182.8084319,3467312.97159456,Source:Construction Plan,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,1976/01/01 05:00:00+00,12,5.6500001,5.6500001,6.36999989,6.36999989,PLAZA TR S(SB),14768791880000,,,0760-004,,,,
-8474051.9484,4414258.4468,34,04720-222,STORMWATER MANHOLE,1977,VIRGINIA BEACH PUBLIC WORKS,12178411.3365496,3467328.76257348, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 10,F08,1977/01/01 05:00:00+00,11.55000019,3.26999998,3.26999998,0,5.84000015,HOLLAND RD (SB),14768702590000,,,0048-002,NET_ID_009406,,,
-8474879.4098,4414908.5578,35,04750-014,STORMWATER MANHOLE,1990,VIRGINIA BEACH PUBLIC WORKS,12176193.5375076,3468975.59162889, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,1990/01/01 05:00:00+00,12.10999966,7,7,0,7,EDWIN DR (NB),14766809930000,,,0029-019,,,,
-8474924.1216,4414944.5851,36,04750-022,STORMWATER MANHOLE,1990,VIRGINIA BEACH PUBLIC WORKS,12176073.6476555,3469066.93166931, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,1990/01/01 05:00:00+00,11.81000042,7.46999979,7.46999979,0,0,EDWIN DR (NB),14766809930000,,,0029-019,,,,
-8474423.6881,4413365.1362,37,04730-476,STORMWATER MANHOLE,1981,VIRGINIA BEACH PUBLIC WORKS,12177492.9548562,3464965.98973998, ,,AS-BUILT/INSPECTORS COPY,E10-010,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 1,F08,1981/01/01 05:00:00+00,-99,4.63999987,4.63999987,0,0,SMOKEY LAKE DR,14767449180000,,,0666-004,,,,
-8474019.1154,4414117.9304,38,04720-244,STORMWATER MANHOLE,1985,PRIVATELY OWNED,12178506.9029596,3466963.15569314, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 10,F08,1985/01/01 05:00:00+00,13.26000023,8.86999989,0,8.86999989,0,HOLLAND RD (SB),14768760200000,,,0048-003,,,,
-8473921.5843,4414156.2641,39,04720-246,STORMWATER MANHOLE,1977,VIRGINIA BEACH PUBLIC WORKS,12178760.7525175,3467069.94550581, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 10,F08,1977/01/01 05:00:00+00,10.97999954,4.42999983,4.42999983,0,4.42999983,HOLLAND RD (SB),14768688370000,,,0048-003,NET_ID_009406,,,
-8473596.7932,4413938.5527,40,04650-278,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12179628.8879203,3466521.63131373,NAVD88-JUN 2016-PW SURVEY,,SURVEY, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,,8.82999992,5.78000021,5.73000002,0,5.78000021,HOLLAND RD (NB),14769675660000,,,0047-036,NET_ID_009099,,,
-8473976.9728,4414234.7317,41,04720-230,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12178609.9828059,3467271.65507615, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,,10.47999954,0,0,7.25,7.25,HOLLAND RD (NB),14768785340000,,,0047-037,NET_ID_009406,,,
-8473907.5494,4414412.6366,42,04650-394,STORMWATER MANHOLE,,PRIVATELY OWNED,12178780.7423069,3467741.88412257, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,,12.30000019,5.5999999,5.5999999,5.5999999,0,HOLLAND RD (NB),14768785340000,,,0047-037,,,,
-8473727.1477,4414398.4389,43,04650-057,STORMWATER MANHOLE,2007,PRIVATELY OWNED,12179255.8814485,3467716.67419922,Source:Site Plan,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,2007/01/01 05:00:00+00,13.39999962,6.40999985,6.40999985,0,0,HOLLAND RD (NB),14768891030000,,,0047-037,,,,
-8473806.3107,4414331.9144,44,04650-388,STORMWATER MANHOLE,,PRIVATELY OWNED,12179052.1817246,3467537.31464981, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,,11.60000038,5.4000001,5.4000001,0,5.4000001,HOLLAND RD (NB),14768785340000,,,0047-037,,,,
-8473757.1494,4414383.545,45,04650-378,STORMWATER MANHOLE,2007,PRIVATELY OWNED,12179178.001683,3467675.7044649,Source:Site Plan,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,2007/01/01 05:00:00+00,12.80000019,6.67000008,6.67000008,0,0,HOLLAND RD (NB),14768891030000,,,0047-037,,,,
-8473794.3886,4414396.9317,46,04650-380,STORMWATER MANHOLE,2007,PRIVATELY OWNED,12179079.2318674,3467708.27428165,Source:Site Plan,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,2007/01/01 05:00:00+00,12.5,6.98000002,6.98000002,0,0,HOLLAND RD (NB),14768891030000,,,0047-037,,,,
-8473628.2773,4413963.3692,47,04650-056,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12179544.4874985,3466584.49897015,NAVD88-JUN 2016-PW SURVEY,,SURVEY, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,,8.52999973,5.01999998,4.42999983,4.30999994,0,ATLANTIC AVE (SB),14769657500000,,,0007-042,NET_ID_009099,,,
-8473436.9315,4414067.2489,48,04650-087,CONFLICT MANHOLE,,PRIVATELY OWNED,12180040.6174118,3466869.08075006,NAVD88-JUN 2016-PW SURVEY,,SURVEY, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,,11.06000042,7.28000021,7.28000021,0,0,KIPLING ST,14769687950000,,,3224-001,,,,
-8473810.5344,4414106.7316,49,04720-254,CONFLICT MANHOLE,1977,VIRGINIA BEACH PUBLIC WORKS,12179055.9317171,3466947.65572414, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,1977/01/01 05:00:00+00,9.77999973,0,0,5.78000021,5.78000021,HOLLAND RD (NB),14769720010000,,,0047-037,NET_ID_009406,,,
-8471027.9566,4414815.9344,50,04620-623,STORMWATER MANHOLE,1965,VIRGINIA BEACH PUBLIC WORKS,12186323.1153455,3468989.11686431, ,,AS-BUILT/INSPECTORS COPY,CIP7-028.003,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,G08,1965/01/01 05:00:00+00,6.23000002,-99,-0.83999997,-0.67000002,-99,KINGS POINT RD,14866807820000,,,3211-001,,,,
-8474386.6721,4414165.3911,51,04720-140,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12177537.5948588,3467063.06559831, ,,PLANS,I14503,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 10,F08,,13.42000008,0,0,6.42000008,6.42000008,INDEPENDENCE BL (NB),14767761770000,,,0050-025,NET_ID_009406,,,
-8471120.3175,4414425.2253,52,04620-370,STORMWATER MANHOLE,1998,VIRGINIA BEACH PUBLIC WORKS,12186106.37759,3467960.36367248, ,,PLANS,CIP 7-115,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,G08,1998/01/01 05:00:00+00,7.1500001,0,3.5999999,0,4.28000021,OLD FORGE RD,14866709020000,,,0554-001,NET_ID_009508,,,
-8473359.8929,4413753.1646,53,04650-432,STORMWATER MANHOLE,1978,VIRGINIA BEACH PUBLIC WORKS,12180263.8787763,3466052.10469373,1978 - HOLLAND RD PHASE II,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,1978/01/01 05:00:00+00,10.42000008,3.06999993,0,1.71000004,0,HOLLAND RD (NB),14860641960000,,,0047-035,NET_ID_008786,,,
-8474350.6446,4413378.3667,54,04670-032,STORMWATER MANHOLE,1985,VIRGINIA BEACH PUBLIC WORKS,12177684.1047364,3465005.44963481, ,,PLANS,I14503,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 10,F08,1985/01/01 05:00:00+00,13.52000046,0,0,4.19999981,4.19999981,INDEPENDENCE BL (NB),14767593320000,,,0050-022,NET_ID_009141,,,
-8474372.2904,4413398.5157,55,04670-030,STORMWATER MANHOLE,1985,VIRGINIA BEACH PUBLIC WORKS,12177625.874866,3465056.75957157, ,,PLANS,I14503,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 10,F08,1985/01/01 05:00:00+00,14.02999973,0,0,4.34000015,4.34000015,INDEPENDENCE BL (NB),14767593320000,,,0050-022,NET_ID_009141,,,
-8474386.3654,4413598.6019,56,04670-028,STORMWATER MANHOLE,1985,VIRGINIA BEACH PUBLIC WORKS,12177575.7046907,3465579.55839473, ,,PLANS,I14503,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 10,F08,1985/01/01 05:00:00+00,15.15999985,0,0,5.42000008,5.42000008,INDEPENDENCE BL (NB),14767593320000,,,0050-022,NET_ID_009141,,,
-8472353.2188,4413528.2597,57,04660-222,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12182925.0906455,3465530.34983173, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,,-99,6.71000004,5.21000004,0,0,HOLLAND RD (NB),14863506620000,,,0047-031,NET_ID_008863,,,
-8473713.5158,4413854.2377,58,04670-139,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12179327.6214625,3466293.2072299,NGVD29,,PLANS,F11-10,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 10,F08,,11.80000019,0,8.39999962,0,8.39999962,PLAZA TR S(SB),14878335640000,,,0760-005,,,,
-8473661.8584,4413940.4508,59,04650-290,WATER QUALITY STRUCTURE,,PRIVATELY OWNED,12179457.7252049,3466522.28649615,NAVD88-JUN 2016-PW SURVEY,,SURVEY, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 10,F08,,9.92000008,0,0,5.6500001,5.6500001,HOLLAND RD (SB),14769634460000,,,0048-003,,,,
-8473661.1812,4413937.4093,60,04650-292,STORMWATER MANHOLE,,PRIVATELY OWNED,12179459.7061721,3466514.37050147,NAVD88-JUN 2016-PW SURVEY,,SURVEY, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 10,F08,,9.92000008,0,5.6500001,5.6500001,0,HOLLAND RD (SB),14769634460000,,,0048-003,,,,
-8472732.167,4413504.1017,61,06320-362,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12181930.5096294,3465441.89200339,NAVD88-JUN 2016-PW SURVEY,,SURVEY, ,London Bridge Creek,NO ASSOCIATED SUBDIVISION,District 10,F08,,9.27999973,5.78000021,5.73000002,5.67999983,5.78000021,HOLLAND RD (SB),14861582060000,,,0048-005,NET_ID_008973,,,
-8472883.1748,4413501.0043,62,04650-476,STORMWATER MANHOLE,1978,VIRGINIA BEACH PUBLIC WORKS,12181533.7433626,3465423.74308956,1978 - HOLLAND RD PHASE II,,PLANS, ,London Bridge Creek,NO ASSOCIATED SUBDIVISION,District 10,F08,1978/01/01 05:00:00+00,11.98999977,0,0,7.94999981,8.14999962,HOLLAND RD (SB),14861553800000,,,0048-005,NET_ID_008861,,,
-8474746.0055,4413611.3189,63,04730-444,STORMWATER MANHOLE,1981,VIRGINIA BEACH PUBLIC WORKS,12176629.4467407,3465589.08855939, ,,PLANS,E08-029,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 1,E08,1981/01/01 05:00:00+00,13.85000038,7.26999998,0,0,7.48999977,GREEN MEADOWS DR,14766575050000,,,0425-004,NET_ID_008773,,,
-8472454.7879,4413537.8746,64,04660-424,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12182657.4478081,3465548.75235398,NAD 1983/1993 HARN,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,,10.02000046,5.80000019,5.80000019,6.26000023,0,HOLLAND RD (NB),14862566970000,,,0047-032,NET_ID_008863,,,
-8472568.4233,4413554.2183,65,04660-321,STORMWATER MANHOLE,,PRIVATELY OWNED,12182357.6396806,3465583.96717855,NAVD88-JUN 2016-PW SURVEY,,SURVEY, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,,10.46000004,7.15999985,7.11000013,0,0,HOLLAND RD (NB),14862547800000,,,0047-032,,,,
-8473993.239,4413544.8257,66,04670-654,JUNCTION BOX,1984,VIRGINIA BEACH PUBLIC WORKS,12178612.6990078,3465464.80501531, ,,PLANS,F08-008,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 10,F08,1984/01/01 05:00:00+00,16,0,0,3.38000011,3.38000011,PLAZA TR S(SB),14768530950000,,,0760-006,NET_ID_008979,,,
-8474158.0727,4413317.9243,67,04670-634,JUNCTION BOX,1984,VIRGINIA BEACH PUBLIC WORKS,12178194.3297658,3464859.97453207, ,,PLANS,F08-008,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 10,F08,1984/01/01 05:00:00+00,16.39999962,9.68000031,13.02000046,2.71000004,2.71000004,PLAZA TR S(SB),24037942550084,,,0760-006,NET_ID_008979,,,
-8474312.7908,4413627.8116,68,04670-022,JUNCTION BOX,1984,VIRGINIA BEACH PUBLIC WORKS,12177767.1944652,3465660.87844206, ,,PLANS,I14503,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 10,F08,1984/01/01 05:00:00+00,15.60000038,0,5.80000019,5.80000019,0,GREEN MEADOWS CT,14767568910000,,,7002-001,NET_ID_009141,,,
-8474429.859,4413615.6774,69,04730-506,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12177460.2449479,3465621.37852105, ,,PLANS,I14503,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 1,F08,,13.35999966,0,0,6.07000017,6.15999985,INDEPENDENCE BL (SB),14767544290000,,,0051-044,NET_ID_008849,,,
-8473234.0933,4413654.2336,70,04650-448,STORMWATER MANHOLE,1978,VIRGINIA BEACH PUBLIC WORKS,12180601.1146504,3465801.50644164,1978 - HOLLAND RD PHASE II,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,F08,1978/01/01 05:00:00+00,11.11999989,4.94999981,4.94999981,0,0,HOLLAND RD (NB),14860568450000,,,0047-035,NET_ID_008786,,,
-8474315.726,4412974.7419,71,04680-068,STORMWATER MANHOLE,2001,VIRGINIA BEACH PUBLIC WORKS,12177802.4742503,3463951.2315989,NGVD 29,,PLANS,E09-523,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 1,F08,2001/01/01 05:00:00+00,13.88000011,0,9.88000011,9.85000038,9.88000011,PLAZA TR S(SB),14878335640000,,,0760-007,,,,
-8474439.0041,4412758.8411,72,E9523-77,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12177492.5900276,3463377.92401847, ,,PLANS,I14503,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 1,F09,,-99,10.81000042,0,0,0,PLAZA TR S(SB),14878335640000,,,0760-007,,,,
